Date,Booster,LaunchSite,PayloadMass,Orbit,LandingOutcome
362,"August 12, 202402:02[351]",F9 B5B1061‑22,"Vandenberg, SLC‑4E",ASBM 1 (GX 10A) & ASBM 2 (GX 10B),"~7,230 kg (15,940 lb)[352]"
363,"August 12, 202410:37[357]",F9 B5B1073‑17,"Kennedy, LC‑39A",Starlink: Group 10-7 (23 satellites),"~17,100 kg (37,700 lb)"
364,"August 15, 202413:00[358]",F9 B5B1076‑16,"Cape Canaveral, SLC‑40",WorldView Legion 3 & 4,"1,500 kg (3,300 lb)"
365,"August 16, 202418:56[360]",F9 B5B1075‑12,"Vandenberg, SLC-4E",Transporter-11 (116 payload smallsat rideshare),Unknown[j]
366,"August 20, 202413:20[361]",F9 B5B1085‑1,"Cape Canaveral, SLC‑40",Starlink: Group 10-5 (23 satellites),"~16,700 kg (36,800 lb)"
367,"August 28, 202407:48[362]",F9 B5B1062‑23,"Cape Canaveral, SLC‑40",Starlink: Group 8-6 (21 satellites),"~16,700 kg (36,800 lb)"
368,"August 31, 202407:43[366]",F9 B5B1069‑18,"Cape Canaveral, SLC‑40",Starlink: Group 8-10 (21 satellites),"~16,700 kg (36,800 lb)"
369,"August 31, 202408:48[367]",F9 B5B1081‑9,"Vandenberg, SLC-4E",Starlink: Group 9-5 (21 satellites),"~16,700 kg (36,800 lb)"
370,"September 5, 202415:33[368]",F9 B5B1077‑15,"Cape Canaveral, SLC‑40",Starlink: Group 8-11 (21 satellites),"~16,700 kg (36,800 lb)"
371,"September 6, 202403:20[369]",F9 B5B1063‑20,"Vandenberg, SLC‑4E",NROL-113 (21 Starshield satellites),Unknown
372,"September 10, 202409:23[370]",F9 B5B1083‑4,"Kennedy, LC‑39A",Polaris Dawn (Crew Dragon C207-3 Resilience),"~13,000 kg (29,000 lb)"
373,"September 12, 202408:52[374]",F9 B5B1078‑13,"Cape Canaveral, SLC‑40",BlueBird Block 1 (5 satellites)[375],"7,500 kg (16,500 lb)"
374,"September 13, 202401:45[376]",F9 B5B1071‑18,"Vandenberg, SLC-4E",Starlink: Group 9-6 (21 satellites),"~16,700 kg (36,800 lb)"
375,"September 17, 202422:50[377]",F9 B5B1067‑22,"Cape Canaveral, SLC‑40",Galileo-L13 (FOC FM26 & FM32),"1,600 kg (3,500 lb)"
376,"September 20, 202413:50[379]",F9 B5B1075‑13,"Vandenberg, SLC-4E",Starlink: Group 9-17 (20 satellites),"~16,300 kg (35,900 lb)"
377,"September 25, 202404:01[380]",F9 B5B1081‑10,"Vandenberg, SLC-4E",Starlink: Group 9-8 (20 satellites),"~16,300 kg (35,900 lb)"
378,"September 28, 202417:17[381]",F9 B5 B1085‑2,"Cape Canaveral, SLC‑40",Crew-9 (Crew Dragon C212-4 Freedom),"~13,000 kg (29,000 lb)"
379,"October 7, 202414:52[388]",F9 B5B1061‑23,"Cape Canaveral, SLC‑40",Hera,"1,108 kg (2,443 lb)"
FH 11,"October 14, 202416:06[390]",Falcon Heavy B5 B1089 (core),"Kennedy, LC‑39A",Europa Clipper,"6,065 kg (13,371 lb)"
380,"October 15, 202406:10[397]",F9 B5B1080‑11,"Cape Canaveral, SLC‑40",Starlink: Group 10-10 (23 satellites),"~17,100 kg (37,700 lb)"
381,"October 15, 202408:21[398]",F9 B5B1071‑19,"Vandenberg, SLC-4E",Starlink: Group 9-7 (20 satellites),"~16,300 kg (35,900 lb)"
382,"October 18, 202423:31[399]",F9 B5B1076‑17,"Cape Canaveral, SLC‑40",Starlink: Group 8-19 (20 satellites),"~16,300 kg (35,900 lb)"
383,"October 20, 202405:13[400]",F9 B5B1082‑7,"Vandenberg, SLC-4E",OneWeb #20 (20 satellites),"2,954 kg (6,512 lb)"
384,"October 23, 202421:47[401]",F9 B5B1073‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-61 (23 satellites),"~17,100 kg (37,700 lb)"
385,"October 24, 202417:13[402]",F9 B5B1063‑21,"Vandenberg, SLC-4E",NROL-167 (~17 Starshield satellites),Unknown
386,"October 26, 202421:47[403]",F9 B5B1069‑19,"Cape Canaveral, SLC‑40",Starlink: Group 10-8 (22 satellites),"~16,700 kg (36,800 lb)"
387,"October 30, 202412:07[404]",F9 B5B1075‑14,"Vandenberg, SLC-4E",Starlink: Group 9-9 (20 satellites),"~16,300 kg (35,900 lb)"
388,"October 30, 202421:10[405]",F9 B5B1078‑14,"Cape Canaveral, SLC‑40",Starlink: Group 10-13 (23 satellites),"~17,100 kg (37,700 lb)"
389,"November 5, 202402:29[406]",F9 B5B1083‑5,"Kennedy, LC‑39A",SpaceX CRS-31 (Cargo Dragon C208-5),"2,762 kg (6,089 lb)"
390,"November 7, 202420:19[409]",F9 B5B1085‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-77 (23 satellites),"~17,100 kg (37,700 lb)"
391,"November 9, 202406:14[410]",F9 B5B1081‑11,"Vandenberg, SLC-4E",Starlink: Group 9-10 (20 satellites),"~16,300 kg (35,900 lb)"
392,11 November 202417:22[411],F9 B5B1067‑23,"Kennedy, LC‑39A",Koreasat 6A,"3,900 kg (8,600 lb)"
393,"November 11, 202421:28[414]",F9 B5B1080‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-69 (24 satellites),"~17,500 kg (38,600 lb)"
394,"November 14, 202405:23[415]",F9 B5B1082‑8,"Vandenberg, SLC-4E",Starlink: Group 9-11 (20 satellites),"~16,300 kg (35,900 lb)"
395,"November 14, 202413:21[416]",F9 B5B1076‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-68 (24 satellites),"~17,500 kg (38,600 lb)"
396,"November 17, 202422:28[417]",F9 B5B1077‑16,"Kennedy, LC‑39A",Optus-X/TD7,"~4,000 kg (8,800 lb)[418]"
397,"November 18, 202405:53[419]",F9 B5B1071‑20,"Vandenberg, SLC-4E",Starlink: Group 9-12 (20 satellites),"~16,300 kg (35,900 lb)"
398,"November 18, 202418:31[420]",F9 B5B1073‑19,"Cape Canaveral, SLC‑40",GSAT-20 (GSAT-N2),"4,700 kg (10,400 lb)"
399,"November 21, 202416:07[422]",F9 B5B1069‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-66 (24 satellites),"~17,500 kg (38,600 lb)"
400,"November 24, 202405:25[423]",F9 B5B1075‑15,"Vandenberg, SLC-4E",Starlink: Group 9-13 (20 satellites),"~16,300 kg (35,900 lb)"
401,"November 25, 202410:02[424]",F9 B5B1080‑13,"Cape Canaveral, SLC‑40",Starlink: Group 12-1 (23 satellites),"~17,100 kg (37,700 lb)"
402,"November 27, 202404:41[426]",F9 B5B1078‑15,"Kennedy, LC‑39A",Starlink: Group 6-76 (24 satellites),"~17,500 kg (38,600 lb)"
403,"November 30, 202405:00[427]",F9 B5B1083‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-65 (24 satellites),"~17,500 kg (38,600 lb)"
404,"November 30, 202408:10[428]",F9 B5B1088‑1,"Vandenberg, SLC-4E",NROL-126 (2 Starshield satellites) + Starlink: Group N-01[429] (20 satellites),"~16,100 kg (35,500 lb)(Starlink)"
405,"December 4, 202410:13[430]",F9 B5B1067‑24,"Cape Canaveral, SLC‑40",Starlink: Group 6-70 (24 satellites),"~17,500 kg (38,600 lb)"
406,"December 5, 202403:05[431]",F9 B5B1081‑12,"Vandenberg, SLC-4E",Starlink: Group 9-14 (20 satellites),"~16,300 kg (35,900 lb)"
407,"December 5, 202416:10[432]",F9 B5B1076‑19,"Kennedy, LC‑39A",SXM-9,"7,000 kg (15,000 lb)"
408,"December 8, 202405:12[435]",F9 B5B1086‑2,"Cape Canaveral, SLC‑40",Starlink: Group 12-5 (23 satellites),"~17,100 kg (37,700 lb)"
409,"December 13, 202421:55[436]",F9 B5B1082‑9,"Vandenberg, SLC-4E",Starlink: Group 11-2 (22 satellites),"~16,700 kg (36,800 lb)"
410,"December 17, 202400:52[437]",F9 B5B1085‑4,"Cape Canaveral, SLC‑40",GPS III-7 (RRT-1)[438][439],"~4,350 kg (9,590 lb)"
411,"December 17, 202413:19[440]",F9 B5B1063‑22,"Vandenberg, SLC‑4E",NROL-149 (22 Starshield satellites)[441],Unknown
412,"December 17, 202422:26[442]",F9 B5B1090‑1,"Kennedy, LC‑39A",O3b mPOWER 7 & 8,"3,400 kg (7,500 lb)"
413,"December 21, 202411:34[444]",F9 B5B1071‑21,"Vandenberg, SLC-4E",Bandwagon-2 (30 payload smallsat rideshare)[271][291]425 Project Flight 3,"800 kg (1,800 lb)(main satellite) + unknown additional"
414,"December 23, 202405:35[446]",F9 B5B1080‑14,"Kennedy, LC‑39A",Starlink: Group 12-2 (21 satellites),"~16,500 kg (36,400 lb)"
415,"December 29, 202401:58[447]",F9 B5B1075‑16,"Vandenberg, SLC-4E",Starlink: Group 11-3 (22 satellites),"~16,700 kg (36,800 lb)"
416,"December 29, 202405:00[448]",F9 B5B1083‑7,"Cape Canaveral, SLC‑40",Astranis: From One to Many (4 satellites),"1,600 kg (3,500 lb)"
417,"December 31, 202405:39[450]",F9 B5B1078‑16,"Kennedy, LC‑39A",Starlink: Group 12-6 (21 satellites),"~16,500 kg (36,400 lb)"
418,"January 4, 202501:27[455]",F9 B5B1073‑20,"Cape Canaveral, SLC‑40",Thuraya 4-NGS,"5,000 kg (11,000 lb)"
419,"January 6, 202520:43[458]",F9 B5B1077‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6‑71 (24 satellites),"~17,500 kg (38,600 lb)"
420,"January 8, 202515:27[459]",F9 B5B1086‑3,"Kennedy, LC‑39A",Starlink: Group 12-11 (21 satellites),"~16,500 kg (36,400 lb)"
421,"January 10, 202503:53[460]",F9 B5B1071‑22,"Vandenberg, SLC‑4E",NROL-153 (22 Starshield satellites)[461],Unknown
422,"January 10, 202519:11[462]",F9 B5B1067‑25,"Cape Canaveral, SLC‑40",Starlink: Group 12-12 (21 satellites),"~16,500 kg (36,400 lb)"
423,"January 13, 202516:47[463]",F9 B5B1080‑15,"Cape Canaveral, SLC‑40",Starlink: Group 12-4 (21 satellites),"~16,500 kg (36,400 lb)"
424,"January 14, 202519:09[464]",F9 B5B1088‑2,"Vandenberg, SLC‑4E",Transporter-12 (131 payload smallsat rideshare),"2,000 kg (4,400 lb)"
425,"January 15, 202506:11[465]",F9 B5B1085‑5,"Kennedy, LC‑39A",Blue Ghost Mission 1,"2,517 kg (5,549 lb)"
426,"January 21, 202505:24[471]",F9 B5B1083‑8,"Kennedy, LC‑39A",Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites,"~15,300 kg (33,700 lb)(Starlink)"
427,"January 21, 202515:45[473]",F9 B5B1082‑10,"Vandenberg, SLC‑4E",Starlink: Group 11-8 (27 satellites),"~15,500 kg (34,200 lb)"
428,"January 24, 202514:07[474]",F9 B5B1063‑23,"Vandenberg, SLC‑4E",Starlink: Group 11-6 (23 satellites),"~17,100 kg (37,700 lb)"
429,"January 27, 202522:05[475]",F9 B5B1076‑20,"Cape Canaveral, SLC‑40",Starlink: Group 12-7 (21 satellites),"~16,500 kg (36,400 lb)"
430,"January 30, 202501:34[476]",F9 B5B1073‑21,"Kennedy, LC‑39A",Spainsat NG I,"6,100 kg (13,400 lb)[477]"
431,"February 1, 202523:02[479]",F9 B5B1075‑17,"Vandenberg, SLC-4E",Starlink: Group 11-4 (22 satellites),"~16,700 kg (36,800 lb)"
432,"February 4, 202510:15[483]",F9 B5B1069‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-3 (21 satellites),"~16,500 kg (36,400 lb)"
433,"February 4, 202523:13[484]",F9 B5B1086‑4,"Kennedy, LC‑39A",WorldView Legion 5 & 6 (2 satellites),"1,500 kg (3,300 lb)"
434,"February 8, 202519:18[488]",F9 B5B1078‑17,"Cape Canaveral, SLC‑40",Starlink: Group 12-9 (21 satellites),"~16,500 kg (36,400 lb)"
435,"February 11, 202502:09[489]",F9 B5B1071‑23,"Vandenberg, SLC-4E",Starlink: Group 11-10 (23 satellites),"~17,100 kg (37,700 lb)"
436,"February 11, 202518:53[490]",F9 B5B1077‑18,"Cape Canaveral, SLC‑40",Starlink: Group 12-18 (21 satellites),"~16,500 kg (36,400 lb)"
437,"February 15, 202506:14",F9 B5 B1067‑26,"Cape Canaveral, SLC‑40",Starlink: Group 12-8 (21 satellites),"~16,500 kg (36,400 lb)"
438,"February 18, 202523:21[491]",F9 B5B1080‑16,"Cape Canaveral, SLC‑40",Starlink: Group 10-12 (23 satellites),"~17,100 kg (37,700 lb)"
439,"February 21, 202515:19",F9 B5B1076‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-14 (23 satellites),"~17,100 kg (37,700 lb)"
440,"February 23, 202501:38",F9 B5B1082‑11,"Vandenberg, SLC‑4E",Starlink: Group 15-1 (22 satellites),"~16,800 kg (37,000 lb)"
441,"February 27, 202500:16[492]",F9 B5B1083‑9,"Kennedy, LC‑39A[493]","IM-2 Nova-C ""Athena"" lunar landerLunar TrailblazerBrokkr-2 Odin[494]Chimera-1TBD",Unknown
442,"February 27, 202503:34",F9 B5B1092‑1[497],"Cape Canaveral, SLC‑40",Starlink: Group 12-13 (21 satellites),"~16,500 kg (36,400 lb)"
443,"March 3, 202502:24[499]",F9 B5B1086‑5,"Cape Canaveral, SLC‑40",Starlink: Group 12-20 (21 satellites),"~16,500 kg (36,400 lb)"
444,"March 12, 202503:10[502]",F9 B5B1088‑3,"Vandenberg, SLC‑4E",SPHERExPUNCH[503],"758 kg (1,671 lb)"
445,"March 13, 202502:35[504]",F9 B5B1069‑22,"Cape Canaveral, SLC‑40",Starlink: Group 12-21,"~16,500 kg (36,400 lb)"
446,"March 14, 202523:03[505]",F9 B5B1090‑2,"Kennedy, LC‑39A",Crew-10 (Crew Dragon C210-4 Endurance),"~13,000 kg (29,000 lb)"
447,"March 15, 202506:43[506]",F9 B5B1081‑13,"Vandenberg, SLC‑4E",Transporter-13 (74 payload smallsat rideshare)[271],Unknown[j]
448,"March 15, 202511:35[507]",F9 B5B1078‑18,"Cape Canaveral, SLC‑40",Starlink: Group 12-16,"~17,100 kg (37,700 lb)"
449,"March 18, 202519:57[508]",F9 B5B1077‑19,"Cape Canaveral, SLC‑40",Starlink: Group 12-25,"~17,100 kg (37,700 lb)"
450,"March 21, 202506:49[509]",F9 B5B1088‑4,"Vandenberg, SLC‑4E",NROL-57 (~11 Starshield satellites),Unknown
451,"March 24, 202517:48[510]",F9 B5B1092‑2,"Cape Canaveral, SLC‑40",NROL-69,Unknown
452,"March 26, 202522:11[512]",F9 B5B1063‑24,"Vandenberg, SLC‑4E",Starlink: Group 11-7,"~15,500 kg (34,200 lb)"
453,"March 31, 202519:52[513]",F9 B5B1080‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-80,"~16,100 kg (35,500 lb)"
454,"April 1, 202501:46[514]",F9 B5B1085‑6,"Kennedy, LC‑39A",Fram2 (Crew Dragon C207-4 Resilience),"~13,000 kg (29,000 lb)"
455,"April 4, 202501:02[517]",F9 B5B1088‑5,"Vandenberg, SLC‑4E",Starlink: Group 11-13,"~15,500 kg (34,200 lb)"
456,"April 6, 202503:07[518]",F9 B5B1078‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-72,"~16,100 kg (35,500 lb)"
457,"April 7, 202523:06[519]",F9 B5B1093‑1,"Vandenberg, SLC‑4E",Starlink: Group 11-11,"~15,500 kg (34,200 lb)"
458,"April 12, 202512:25[520]",F9 B5B1071‑24,"Vandenberg, SLC‑4E",NROL-192 (22 Starshield satellites),Unknown
459,"April 13, 202500:53[521]",F9 B5B1083‑10,"Kennedy, LC‑39A",Starlink: Group 12-17,"~16,500 kg (36,400 lb)"
460,"April 14, 202504:00[522]",F9 B5B1067‑27,"Cape Canaveral, SLC‑40",Starlink: Group 6-73,"~15,500 kg (34,200 lb)"
461,"April 20, 202512:29[523]",F9 B5B1082‑12,"Vandenberg, SLC‑4E",NROL-145 (22 Starshield satellites),Unknown
462,"April 21, 202508:15[524]",F9 B5 B1092‑3,"Kennedy, LC‑39A",SpaceX CRS-32 (Cargo Dragon C209-5),"3,021 kg (6,660 lb)"
463,"April 22, 202500:48[526]",F9 B5B1090‑3,"Cape Canaveral, SLC‑40","Bandwagon-3 (425Sat-3,[527] Tomorrow-S7, PHOENIX)",Unknown[j]
464,"April 25, 202501:52[528]",F9 B5B1069‑23,"Cape Canaveral, SLC‑40",Starlink: Group 6-74,"~16,100 kg (35,500 lb)"
465,"April 28, 202502:09[529]",F9 B5B1077‑20,"Cape Canaveral, SLC‑40",Starlink: Group 12-23,"~17,100 kg (37,700 lb)"
466,"April 28, 202520:42[530]",F9 B5B1063‑25,"Vandenberg, SLC‑4E",Starlink: Group 11-9,"~15,500 kg (34,200 lb)"
467,"April 29, 202502:34[531]",F9 B5B1094‑1,"Kennedy, LC‑39A",Starlink: Group 12-10,"~17,100 kg (37,700 lb)"
468,"May 2, 202501:51[532]",F9 B5B1080‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-75,"~16,100 kg (35,500 lb)"
469,"May 4, 202508:54[533]",F9 B5B1078‑20,"Kennedy, LC‑39A",Starlink: Group 6-84,"~16,675 kg (36,762 lb)"
470,"May 7, 202501:17[534]",F9 B5B1085‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-93,"~16,100 kg (35,500 lb)"
471,"May 10, 202500:19[535]",F9 B5B1081‑14,"Vandenberg, SLC‑4E",Starlink: Group 15-3,"~14,950 kg (32,960 lb)"
472,"May 10, 202506:28[536]",F9 B5B1083‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-91,"~16,100 kg (35,500 lb)"
473,"May 13, 202501:15[538]",F9 B5B1088‑6,"Vandenberg, SLC‑4E",Starlink: Group 15-4,"~14,950 kg (32,960 lb)"
474,"May 13, 202505:02[539]",F9 B5B1067‑28,"Kennedy, LC‑39A",Starlink: Group 6-83,"~16,100 kg (35,500 lb)"
475,"May 14, 202516:38[540]",F9 B5B1090‑4,"Cape Canaveral, SLC‑40",Starlink: Group 6-67,"~16,100 kg (35,500 lb)"
476,"May 16, 202513:43[541]",F9 B5B1093‑2,"Vandenberg, SLC‑4E",Starlink: Group 15-5,"~14,950 kg (32,960 lb)"
477,"May 21, 202503:19[542]",F9 B5B1095‑1,"Cape Canaveral, SLC‑40",Starlink: Group 12-15,"~17,100 kg (37,700 lb)"
478,"May 23, 202522:32[543]",F9 B5B1075‑18,"Vandenberg, SLC‑4E",Starlink: Group 11-16,"~15,500 kg (34,200 lb)"
479,"May 24, 202517:19[544]",F9 B5B1069‑24,"Cape Canaveral, SLC‑40",Starlink: Group 12-22,"~17,100 kg (37,700 lb)"
480,"May 27, 202516:57[545]",F9 B5B1082‑13,"Vandenberg, SLC‑4E",Starlink: Group 17-1,"~17,500 kg (38,600 lb)"
481,"May 28, 202513:30[546]",F9 B5B1080‑19,"Kennedy, LC‑39A",Starlink: Group 10-32,"~15,500 kg (34,200 lb)"
482,"May 30, 202517:37[547]",F9 B5B1092‑4,"Cape Canaveral, SLC‑40",GPS III-8,"4,350 kg (9,590 lb)"
483,"May 31, 202520:10[548]",F9 B5B1071‑25,"Vandenberg, SLC‑4E",Starlink: Group 11-18,"~15,500 kg (34,200 lb)"
484,"June 3, 202504:43[549]",F9 B5B1077‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-19,"~17,100 kg (37,700 lb)"
485,"June 4, 202523:40[551]",F9 B5B1063‑26,"Vandenberg, SLC‑4E",Starlink: Group 11-22,"~15,500 kg (34,200 lb)"
486,"June 7, 202504:54[552]",F9 B5B1085‑8,"Cape Canaveral, SLC‑40",SXM-10,"6,400 kg (14,100 lb)"
487,"June 8, 202514:20[553]",F9 B5B1088‑7,"Vandenberg, SLC‑4E",Starlink: Group 15-8,"~14,950 kg (32,960 lb)"
488,"June 10, 202513:05[554]",F9 B5B1083‑12,"Cape Canaveral, SLC‑40",Starlink: Group 12-24,"~17,100 kg (37,700 lb)"
489,"June 13, 202501:54[555]",F9 B5B1081‑15,"Vandenberg, SLC‑4E",Starlink: Group 15-6,"~14,950 kg (32,960 lb)"
490,"June 13, 202515:29[556]",F9 B5B1078‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-26,"~17,100 kg (37,700 lb)"
491,"June 17, 202503:36[557]",F9 B5B1093‑3,"Vandenberg, SLC‑4E",Starlink: Group 15-9,"~14,950 kg (32,960 lb)"
492,"June 18, 202505:55[558]",F9 B5B1090‑5,"Cape Canaveral, SLC‑40",Starlink: Group 10-18,"~16,100 kg (35,500 lb)"
493,"June 23, 202505:58[559]",F9 B5B1069‑25,"Cape Canaveral, SLC‑40",Starlink: Group 10-23,"~15,500 kg (34,200 lb)"
494,"June 23, 202521:25[560]",F9 B5B1071‑26,"Vandenberg, SLC‑4E",Transporter-14 (70 payloads smallsat rideshare)[271],Unknown[j]
495,"June 25, 202506:31[561]",F9 B5B1094‑2,"Kennedy, LC‑39A",Axiom Mission 4 (Crew Dragon C213-1 Grace),"~13,000 kg (29,000 lb)"
496,"June 25, 202519:54[562]",F9 B5B1080‑20,"Cape Canaveral, SLC‑40",Starlink: Group 10-16,"~15,500 kg (34,200 lb)"
497,"June 28, 202504:26[563]",F9 B5B1092‑5,"Cape Canaveral, SLC‑40",Starlink: Group 10-34,"~15,500 kg (34,200 lb)"
498,"June 28, 202517:13[563]",F9 B5B1088‑8,"Vandenberg, SLC‑4E",Starlink: Group 15-7,"~14,950 kg (32,960 lb)"
499,"July 1, 202521:04[564]",F9 B5B1085‑9,"Kennedy, LC‑39A",MTG-S1 / Sentinel-4A[565],"3,800 kg (8,400 lb)"
500,"July 2, 202506:28[566]",F9 B5B1067‑29,"Cape Canaveral, SLC‑40",Starlink: Group 10-25,"~15,500 kg (34,200 lb)"
501,"July 8, 202508:21[567]",F9 B5B1077‑22,"Cape Canaveral, SLC‑40",Starlink: Group 10-28,"~16,100 kg (35,500 lb)"
502,"July 13, 202505:04[568]",F9 B5B1083‑13,"Cape Canaveral, SLC‑40",Dror-1 [he],"4,000 kg (8,800 lb)"
503,"July 16, 202502:05[571]",F9 B5B1093‑4,"Vandenberg, SLC‑4E",Starlink: Group 15-2,"~14,950 kg (32,960 lb)"
504,"July 16, 202506:30[572]",F9 B5B1096‑1,"Cape Canaveral, SLC‑40",KuiperSat × 24 (KF-01),"~14,784 kg (32,593 lb)"
505,"July 19, 202503:52[575]",F9 B5B1082‑14,"Vandenberg, SLC‑4E",Starlink: Group 17-3,"~17,500 kg (38,600 lb)"
22 July 202518:13[580],F9 B5B1081‑16,"Vandenberg, SLC‑4E",TRACERS[581] (2 satellites)+ 3 rideshares,SSO,NASA
22 July 202521:12[583],F9 B5B1090‑6,"Cape Canaveral, SLC‑40",O3b mPOWER 9 & 10[584],MEO,SES
24 July 202509:12,F9 B5,"Cape Canaveral, SLC‑40",Starlink: Group 10-26,LEO,SpaceX
26 July 202502:09,F9 B5,"Vandenberg, SLC‑4E",Starlink: Group 17-2,LEO,SpaceX
29 July 202515:39,F9 B5,"Vandenberg, SLC‑4E",Starlink: Group 13-4,SSO,SpaceX
31 July 202516:09[585],F9 B5B1094‑3,"Kennedy, LC‑39A",Crew-11 (Crew Dragon C206-6 Endeavour),LEO (ISS),NASA (CCP)
July 2025,F9 B5,TBA (FL),Bandwagon-4 (smallsat rideshare)[271][291],LEO,Various
August 2025,F9 B5,TBA (FL),SpaceX CRS-33,LEO (ISS),NASA (CRS)
August 2025[579],F9 B5,TBA (FL),Nusantara Lima,GTO?,PT Pasifik Satelit Nusantara
September 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Transport Layer B,Polar LEO,SDA
September 2025[592],F9 B5,"Cape Canaveral, SLC‑40",Interstellar Mapping and Acceleration Probe (IMAP)[593],Sun–Earth L1,NASA
Q3 2025,F9 B5,"Vandenberg, SLC‑4E",NAOS LUXEOSys[594],SSO,Luxembourg Armed Forces
Q3 2025,F9 B5,TBA (FL),KuiperSat × ? (KF-02),LEO,Amazon (Kuiper Systems)
Q4 2025,F9 B5,TBA (FL),KuiperSat × ? (KF-03),LEO,Amazon (Kuiper Systems)
Q3 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Tracking Layer A,Polar LEO,SDA
Q3 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Tracking Layer C,Polar LEO,SDA
Q3 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Tracking Layer E,Polar LEO,SDA
October 2025[595],F9 B5,TBA (FL),Spainsat NG II[596],GTO,Hisdesat
October 2025,F9 B5,TBD,Transporter-15 (smallsat rideshare)[271],SSO,Various
October 2025,F9 B5,"Vandenberg, SLC‑4E",TSIS-2 & others,SSO,NASA
November 2025,F9 B5,"Vandenberg, SLC‑4E",Sentinel-6B[597],LEO,NASA/NOAA/EUMETSAT/ESA
December 2025[599],Falcon Heavy B5B1091 (core),"Kennedy, LC‑39A",Griffin Mission 1[600],TLI,AstroboticNASA (Artemis)
Q4 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Transport Layer A,Polar LEO,SDA
Q4 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Transport Layer C,Polar LEO,SDA
Q4 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Transport Layer D,Polar LEO,SDA
Q4 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Transport Layer E,Polar LEO,SDA
Q4 2025,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 1 Transport Layer F,Polar LEO,SDA
Q4 2025,F9 B5,TBA (FL),KOMPSAT-7A,SSO,Korea Aerospace Research Institute
2025,F9 B5,TBA (FL),Globalstar-3 M104–120 (17 satellites)[606],LEO,Globalstar
2025[608],F9 B5[609],TBA (FL)[610],USSF-36,TBA,USSF
2025,F9 B5,TBA (FL),USSF-31[591],TBA,USSF
2025,F9 B5,TBA (FL),NROL-77[438][439],Classified,NRO
2025?,F9 B5,TBA (FL),CRS NG-22 or NG-23?,LEO (ISS),Northrop Grumman (CRS)
2025,F9 B5,TBA (FL),Astranis Block 3 Mission (5 satellites),GTO,Astranis
~2025[613][614],F9 B5,TBA (FL),BlueBird Block 2 #7-10 (4 satellites),LEO,AST SpaceMobile
~2025[616],F9 B5,TBA (FL),BlueBird Block 2 #11-14 (4 satellites),LEO,AST SpaceMobile
Q1 2026,F9 B5,TBD,Transporter-16 (smallsat rideshare)[271],SSO,Various
May 2026,F9 B5,TBD,Haven-1[617],LEO,Vast
Late June 2026,F9 B5,"Kennedy, LC‑39A",Vast-1[617],LEO,Vast
Q2 2026,F9 B5,TBD,Transporter-17 (smallsat rideshare)[271],SSO,Various
Q2 2026,F9 B5,TBA (FL),CHORUS[618],LEO,MDA
August 2026,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer A[438][439],Polar LEO,SDA
October 2026,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer C[438][439],Polar LEO,SDA
October 2026,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer D[438][439],Polar LEO,SDA
December 2026,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer E[438][439],Polar LEO,SDA
Q4 2026,F9 B5,TBD,Transporter-18 (smallsat rideshare)[271],SSO,Various
2026(2 flights),F9 B5,TBA (FL),SpaceX CRS-34 to SpaceX CRS-35[281],LEO (ISS),NASA (CRS)
2026,F9 B5,TBA (FL),Skynet 6A[619],GTO,Airbus / UK Ministry of Defence
2026[621],F9 B5,"Kennedy, LC‑39A",IM-3 Nova-C lunar lander,TLI,NASA (CLPS)Intuitive Machines
~2026,Falcon Heavy B5,"Kennedy, LC‑39A",USSF-75[438][439],GSO,USSF
